"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/22/2021","39","NO2","RIVER TERRACE","11-001-0041","AQS"
"01/23/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/24/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/25/2021","43","PM2.5","RIVER TERRACE","11-001-0041","AQS"
"01/26/2021","43","PM2.5","RIVER TERRACE","11-001-0041","AQS"
"01/27/2021","45","PM2.5","Near Road","11-001-0051","AQS"
"01/28/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/29/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/30/2021","46","NO2","Takoma Rec Center","11-001-0050","AQS"
"01/31/2021","44","NO2","Takoma Rec Center","11-001-0050","AQS"
"02/01/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/02/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/03/2021","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/04/2021","53","NO2","Takoma Rec Center","11-001-0050","AQS"
"02/05/2021","35","Ozone","Takoma Rec Center","11-001-0050","AQS"
"02/06/2021","37","NO2","Takoma Rec Center","11-001-0050","AQS"
"02/07/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/08/2021","48","PM2.5","Near Road","11-001-0051","AQS"
"02/09/2021","54","PM2.5","Near Road","11-001-0051","AQS"
"02/10/2021","68","PM2.5","Near Road","11-001-0051","AQS"
"02/11/2021","70","PM2.5","Near Road","11-001-0051","AQS"
"02/12/2021","59","PM2.5","Near Road","11-001-0051","AQS"
"02/13/2021","58","PM2.5","Near Road","11-001-0051","AQS"
"02/14/2021","70","PM2.5","Near Road","11-001-0051","AQS"
"02/15/2021","66","PM2.5","Near Road","11-001-0051","AQS"
"02/16/2021","72","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/17/2021","81","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/18/2021","53","PM2.5","Near Road","11-001-0051","AQS"
"02/19/2021","47","PM2.5","Near Road","11-001-0051","AQS"
"02/20/2021","46","PM2.5","Near Road","11-001-0051","AQS"
"02/21/2021","55","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
