"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/11/2021","27","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow"
"10/12/2021","27","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/13/2021","40","PM2.5","Near Road","11-001-0051","AQS"
"10/14/2021","42","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"10/15/2021","52","PM2.5","Near Road","11-001-0051","AQS"
"10/16/2021","38","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"10/17/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/18/2021","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/19/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/20/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/21/2021","46","PM2.5","Near Road","11-001-0051","AQS"
"10/22/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/23/2021","27","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow"
"10/24/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/25/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/26/2021","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/27/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/28/2021","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
