,time,pblh(m)
216,2011-08-05,1378.5575
217,2011-08-06,1512.519
218,2011-08-07,1805.1128
219,2011-08-08,1859.3501
220,2011-08-09,2136.2007
221,2011-08-10,2611.1377
222,2011-08-11,2555.7483
223,2011-08-12,2459.8489
224,2011-08-13,1495.1919
225,2011-08-14,1287.266
226,2011-08-15,1159.1122
227,2011-08-16,1826.9517
228,2011-08-17,2147.912
229,2011-08-18,2396.492
230,2011-08-19,1313.2808
231,2011-08-20,1590.6112
232,2011-08-21,1335.5037
233,2011-08-22,2502.0388
234,2011-08-23,2363.6616
235,2011-08-24,1908.5957
236,2011-08-25,663.6323
237,2011-08-26,1198.5183
238,2011-08-27,1160.9362
239,2011-08-28,2006.8469
240,2011-08-29,1086.2998
241,2011-08-30,1596.083
242,2011-08-31,1624.8816
243,2011-09-01,1114.3784
244,2011-09-02,888.2614
245,2011-09-03,633.6338
246,2011-09-04,1237.3004
247,2011-09-05,983.5848
248,2011-09-06,759.1957
249,2011-09-07,457.9143
250,2011-09-08,497.99243
251,2011-09-09,722.1415
252,2011-09-10,1228.9009
253,2011-09-11,1400.8765
254,2011-09-12,1426.8431
255,2011-09-13,1340.1115
256,2011-09-14,1622.1456
257,2011-09-15,1173.3196
258,2011-09-16,1336.0796
259,2011-09-17,634.01776
260,2011-09-18,1052.8455
261,2011-09-19,1239.7003
262,2011-09-20,805.03345
263,2011-09-21,741.96454
264,2011-09-22,762.6515
265,2011-09-23,408.81274
266,2011-09-24,742.3965
267,2011-09-25,839.59174
268,2011-09-26,980.0329
269,2011-09-27,751.804
270,2011-09-28,1172.4556
271,2011-09-29,1706.3336
272,2011-09-30,1568.1003
273,2011-10-01,1044.0618
274,2011-10-02,1121.386
275,2011-10-03,884.5176
276,2011-10-04,1487.7522
277,2011-10-05,1222.8052
278,2011-10-06,1062.9248
279,2011-10-07,1143.849
280,2011-10-08,832.3921
281,2011-10-09,732.221
282,2011-10-10,529.1909
283,2011-10-11,572.82074
284,2011-10-12,783.77045
285,2011-10-13,542.2462
286,2011-10-14,1927.8909
287,2011-10-15,2494.7913
288,2011-10-16,1177.2554
289,2011-10-17,1528.6942
290,2011-10-18,742.3005
291,2011-10-19,1044.3499
292,2011-10-20,2097.4666
293,2011-10-21,1597.5228
294,2011-10-22,1347.119
295,2011-10-23,1380.9094
296,2011-10-24,711.91797
297,2011-10-25,1266.291
298,2011-10-26,563.7492
299,2011-10-27,907.22046
300,2011-10-28,1237.6843
301,2011-10-29,1016.8471
302,2011-10-30,1268.5948
303,2011-10-31,1548.3253
304,2011-11-01,1629.4413
305,2011-11-02,954.1142
306,2011-11-03,749.21216
307,2011-11-04,1132.2335
