Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
07/10/2011,100,2067.756,7,100,67,0,0,25
07/11/2011,64,1799.353,7,64,64,0,0,21
07/12/2011,87,2278.3696,6,87,54,26,0,17
07/13/2011,74,2278.7058,8,74,67,0,0,35
07/14/2011,64,2349.9343,7,64,26,18,0,31
07/15/2011,44,1693.7102,6,44,26,9,0,17
07/16/2011,44,1937.4424,6,44,26,9,0,20
07/17/2011,45,1858.6301,6,45,39,9,0,10
07/18/2011,108,1954.8655,7,108,82,9,0,20
07/19/2011,77,1756.0112,7,77,72,9,0,32
07/20/2011,136,1904.468,8,136,89,38,0,23
07/21/2011,94,1959.6173,8,87,94,0,0,26
07/22/2011,143,2467.9126,8,143,85,0,0,45
07/23/2011,112,2499.783,9,112,75,0,0,13
07/24/2011,77,1680.5588,7,71,77,0,0,10
07/25/2011,62,1180.2792,8,54,62,0,0,21
07/26/2011,100,2945.9692,7,100,52,24,0,30
07/27/2011,50,2377.2449,6,50,42,0,0,34
07/28/2011,136,1886.5648,8,136,67,0,0,43
07/29/2011,100,2736.7954,8,100,81,0,0,22
07/30/2011,77,2506.6946,6,77,51,0,0,22
07/31/2011,84,2796.9844,7,84,52,0,0,35
08/01/2011,119,3155.767,7,119,58,27,0,21
08/02/2011,77,2619.1052,7,77,58,0,0,20
08/03/2011,91,1464.5214,9,39,91,0,0,28
08/04/2011,72,1296.8175,8,51,72,0,0,22
08/05/2011,54,1378.5575,7,45,54,14,0,26
08/06/2011,60,1512.519,6,42,60,14,0,14
08/07/2011,68,1805.1128,7,50,68,9,0,23
08/08/2011,74,1859.3501,9,74,69,9,0,38
08/09/2011,76,2136.2007,10,64,76,17,0,37
08/10/2011,59,2611.1377,9,58,59,16,0,25
08/11/2011,62,2555.7483,8,58,62,14,0,40
08/12/2011,84,2459.8489,8,84,60,13,0,38
08/13/2011,80,1495.1919,9,40,80,14,0,45
08/14/2011,43,1287.266,8,38,43,13,0,13
08/15/2011,40,1159.1122,19,40,29,7,0,27
08/16/2011,47,1826.9517,20,37,47,6,0,31
08/17/2011,51,2147.912,9,51,48,7,0,26
08/18/2011,55,2396.492,6,54,55,7,0,31
08/19/2011,84,1313.2808,7,84,57,17,0,25
08/20/2011,90,1590.6112,7,90,51,16,0,26
08/21/2011,58,1335.5037,5,43,58,9,0,11
08/22/2011,40,2502.0388,5,40,33,9,0,26
08/23/2011,51,2363.6616,7,51,49,11,0,29
08/24/2011,51,1908.5957,8,51,61,11,0,28
08/25/2011,61,663.6323,11,34,60,11,0,23
08/26/2011,60,1198.5183,15,49,54,11,0,25
08/27/2011,54,1160.9362,9,29,52,6,0,12
08/28/2011,52,2006.8469,9,40,53,6,0,26
08/29/2011,53,1086.2998,11,35,56,11,0,30
08/30/2011,56,1596.083,22,47,63,11,0,32
08/31/2011,97,1624.8816,14,97,60,21,0,44
09/01/2011,80,1114.3784,11,80,57,21,0,33
09/02/2011,57,888.2614,8,32,66,16,0,23
09/03/2011,66,633.6338,9,47,83,16,0,24
09/04/2011,83,1237.3004,9,61,65,14,0,10
09/05/2011,65,983.5848,8,41,38,13,0,15
09/06/2011,38,759.1957,10,32,48,12,0,22
09/07/2011,48,457.9143,14,13,45,11,0,26
09/08/2011,45,497.99243,13,15,43,27,0,28
09/09/2011,43,722.1415,11,22,58,27,0,17
09/10/2011,58,1228.9009,11,44,62,19,0,23
09/11/2011,62,1400.8765,13,50,58,18,0,23
09/12/2011,61,1426.8431,14,61,67,26,0,40
09/13/2011,71,1340.1115,11,71,69,26,0,31
09/14/2011,77,1622.1456,11,77,56,24,0,27
09/15/2011,56,1173.3196,14,35,36,22,0,32
09/16/2011,36,1336.0796,13,20,48,13,0,22
09/17/2011,48,634.01776,11,14,44,12,0,20
09/18/2011,44,1052.8455,9,33,41,19,0,21
09/19/2011,41,1239.7003,9,31,52,21,0,25
09/20/2011,52,805.03345,10,23,53,25,5.4,25
09/21/2011,53,741.96454,11,23,53,23,3.3,19
09/22/2011,53,762.6515,10,26,49,30,3,23
09/23/2011,49,408.81274,13,13,52,28,4.3,25
09/24/2011,52,742.3965,11,23,51,42,5.4,21
09/25/2011,51,839.59174,11,29,50,39,3.1,19
09/26/2011,50,980.0329,10,31,51,16,4.9,18
09/27/2011,51,751.804,10,15,50,18,5,21
09/28/2011,50,1172.4556,11,36,54,19,3,22
09/29/2011,54,1706.3336,13,39,53,20,2.9,35
09/30/2011,53,1568.1003,11,31,33,19,0,31
10/01/2011,33,1044.0618,8,21,34,20,0,8
10/02/2011,34,1121.386,8,19,41,52,0,10
10/03/2011,41,884.5176,10,16,46,48,0,20
10/04/2011,46,1487.7522,10,25,56,23,0,14
10/05/2011,56,1222.8052,14,35,51,11,0,34
10/06/2011,51,1062.9248,16,30,60,26,0,33
10/07/2011,60,1143.849,19,34,58,23,0,41
10/08/2011,58,832.3921,20,43,64,18,0,36
10/09/2011,64,732.221,16,64,65,16,0,42
10/10/2011,65,529.1909,18,28,68,38,0,45
10/11/2011,68,572.82074,18,29,43,36,0,32
10/12/2011,43,783.77045,15,26,41,24,0,20
10/13/2011,41,542.2462,14,20,45,22,0,26
10/14/2011,45,1927.8909,11,31,43,27,0,15
10/15/2011,43,2494.7913,6,35,42,25,0,20
10/16/2011,42,1177.2554,7,36,53,23,0,18
10/17/2011,53,1528.6942,9,36,59,21,0,36
10/18/2011,59,742.3005,15,38,43,28,0,35
10/19/2011,43,1044.3499,9,23,35,29,0,20
10/20/2011,35,2097.4666,8,16,43,27,0,13
10/21/2011,43,1597.5228,7,19,56,27,0,16
10/22/2011,56,1347.119,14,25,65,19,0,27
10/23/2011,65,1380.9094,19,30,63,18,0,28
10/24/2011,63,711.91797,14,31,54,30,0,32
10/25/2011,54,1266.291,10,38,62,29,0,43
10/26/2011,62,563.7492,19,19,63,7,0,38
10/27/2011,63,907.22046,19,21,33,7,0,40
10/28/2011,33,1237.6843,9,23,34,22,0,26
10/29/2011,34,1016.8471,10,22,48,21,0,17
10/30/2011,48,1268.5948,15,29,55,11,0,30
10/31/2011,55,1548.3253,22,25,54,11,0,35
11/01/2011,54,1629.4413,14,32,64,16,0,38
11/02/2011,64,954.1142,22,31,58,16,0,48
11/03/2011,58,749.21216,13,33,56,19,0,42
11/04/2011,56,1132.2335,14,25,45,20,0,37
11/05/2011,45,1262.4032,16,24,55,24,0,31
11/06/2011,55,1054.6693,23,27,58,21,0,31
11/07/2011,58,679.37555,24,27,64,16,0,42
11/08/2011,64,687.19916,28,28,66,15,0,46
11/09/2011,66,591.68384,27,38,52,27,0,56
11/10/2011,52,649.809,22,23,52,27,0,35
11/11/2011,52,2213.189,13,26,58,19,0.5,25
11/12/2011,58,714.26984,15,33,56,19,1.3,29
11/13/2011,56,864.0226,13,40,58,10,1.2,23
11/14/2011,58,845.0635,11,35,51,10,2.3,28
11/15/2011,51,757.41974,13,30,44,12,1.2,36
11/16/2011,44,593.17175,13,26,38,12,0.8,32
11/17/2011,38,1559.4127,10,26,62,11,1,20
11/18/2011,62,1748.7635,10,25,63,10,1.1,29
11/19/2011,63,777.3868,10,30,63,8,1.5,33
11/20/2011,63,559.2374,14,29,67,8,2.5,33
11/21/2011,67,389.37366,14,8,57,9,0,40
11/22/2011,57,326.97668,15,20,35,9,0,44
11/23/2011,47,1409.42,11,25,58,3,,47
11/24/2011,58,1351.2949,11,33,59,4,1.5,28
11/25/2011,59,374.0144,18,21,66,26,2.5,38
11/26/2011,66,226.42163,25,18,56,27,0,37
11/27/2011,56,1194.9664,19,31,51,21,0,33
11/28/2011,51,652.64087,14,28,33,20,2.3,50
11/29/2011,43,1067.3407,7,33,29,15,0,43
11/30/2011,35,1752.2673,7,23,48,14,0.7,35
12/01/2011,48,1255.9235,11,25,65,9,3.2,37
12/02/2011,65,404.15698,19,11,57,9,5.5,53
12/03/2011,57,800.3777,11,19,58,14,1.2,30
12/04/2011,58,699.63055,14,24,65,13,1,35
12/05/2011,65,469.00183,17,24,41,26,4.8,47
12/06/2011,41,734.1889,8,23,32,0,0.1,22
12/07/2011,32,634.6417,10,21,55,0,0.2,28
12/08/2011,55,1190.3107,9,23,62,0,3.8,32
12/09/2011,62,784.01044,18,19,46,0,0,52
12/10/2011,46,1418.3956,22,30,66,0,0,35
12/11/2011,66,915.04407,13,26,71,21,2.8,36
12/12/2011,71,533.22266,18,11,71,0,3.3,51
12/13/2011,71,683.98334,22,19,69,0,0,45
12/14/2011,70,602.3393,23,19,64,0,4.7,70
