"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","78","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/02/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/03/2011","31","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"01/04/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/05/2011","40","","RIVER TERRACE","11-001-0041","AQS"
"01/06/2011","64","","RIVER TERRACE","11-001-0041","AQS"
"01/07/2011","49","","RIVER TERRACE","11-001-0041","AQS"
"01/08/2011","44","","RIVER TERRACE","11-001-0041","AQS"
"01/09/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/10/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/11/2011","59","","RIVER TERRACE","11-001-0041","AQS"
"01/12/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/13/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/14/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/15/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/16/2011","56","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"01/17/2011","62","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/18/2011","65","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"01/19/2011","54","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"01/20/2011","30","","RIVER TERRACE","11-001-0041","AQS"
"01/21/2011","46","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/22/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/23/2011","56","","RIVER TERRACE","11-001-0041","AQS"
"01/24/2011","76","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/25/2011","70","","RIVER TERRACE","11-001-0041","AQS"
"01/26/2011","62","","RIVER TERRACE","11-001-0041","AQS"
"01/27/2011","56","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"01/28/2011","68","","RIVER TERRACE","11-001-0041","AQS"
"01/29/2011","53","","RIVER TERRACE","11-001-0041","AQS"
"01/30/2011","77","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"01/31/2011","58","","RIVER TERRACE","11-001-0041","AQS"
"02/01/2011","79","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/02/2011","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/03/2011","26","","RIVER TERRACE","11-001-0041","AQS"
"02/04/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/05/2011","37","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/06/2011","55","","RIVER TERRACE","11-001-0041","AQS"
"02/07/2011","72","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/08/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/09/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/10/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/11/2011","60","","RIVER TERRACE","11-001-0041","AQS"
"02/12/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/13/2011","37","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/14/2011","21","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"02/15/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/16/2011","37","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/17/2011","66","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/18/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/19/2011","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/20/2011","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/21/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/22/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/23/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/24/2011","57","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/25/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/26/2011","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/27/2011","53","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
