"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2014","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/02/2014","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/03/2014","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/04/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/05/2014","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/06/2014","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/07/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/08/2014","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/09/2014","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/10/2014","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/11/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/12/2014","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/13/2014","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/14/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/15/2014","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/16/2014","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/17/2014","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/18/2014","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/19/2014","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/20/2014","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/21/2014","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/22/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/23/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/24/2014","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/25/2014","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/26/2014","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/27/2014","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/28/2014","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/29/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/30/2014","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/31/2014","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/01/2014","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/02/2014","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/03/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/04/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/05/2014","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/06/2014","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/07/2014","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/08/2014","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/09/2014","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/10/2014","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/11/2014","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/12/2014","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/13/2014","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/14/2014","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/15/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/16/2014","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/17/2014","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/18/2014","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/19/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/20/2014","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/21/2014","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/22/2014","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/23/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/24/2014","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/25/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/26/2014","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/27/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/28/2014","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/01/2014","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/02/2014","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/03/2014","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/04/2014","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/05/2014","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/06/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/07/2014","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/08/2014","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/09/2014","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/10/2014","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/11/2014","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/12/2014","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/13/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/14/2014","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/15/2014","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/16/2014","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/17/2014","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/18/2014","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/19/2014","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/20/2014","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/21/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/22/2014","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/23/2014","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/24/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/25/2014","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/26/2014","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/27/2014","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/28/2014","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/29/2014","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/30/2014","3","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/31/2014","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/01/2014","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/02/2014","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/03/2014","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/04/2014","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/05/2014","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/06/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/07/2014","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/08/2014","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/09/2014","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/10/2014","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/11/2014","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/12/2014","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/13/2014","24","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/14/2014","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/15/2014","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/16/2014","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
