,TEMPERATURE,TEMPERATURE_DELTA,SOLAR_RADIATION,OZONE,CO,NO,NOY,NOYDIF,SO2_GA,MEAN PM 2.5,MEAN PM 10,PBLH,AQI_TRUE
2011-01-01,7.458875,0.15075,48.825291666666665,17.49866666666667,303.1545454545454,4.88652380952381,14.422238095238097,9.684857142857144,1.3000869565217392,25.5,8.0,946.22327,0.0
2011-01-02,8.459041666666666,0.19616666666666668,18.636625,25.958333333333332,146.74583333333334,0.48204166666666665,4.1209999999999996,7.974333333333334,0.9025,8.2,8.0,803.56036,-1.0
2011-01-03,-1.2677083333333332,0.211375,127.71274999999999,25.72975,190.62727272727273,1.1505652173913044,9.49595652173913,7.135208333333334,1.5896521739130434,5.533333333333334,10.333333333333334,1148.97,-1.0
2011-01-04,-1.6722083333333335,0.656,110.61183333333334,7.1265,335.03749999999997,7.205416666666667,29.727083333333336,4.681809523809524,1.9483333333333333,12.9,9.0,677.49066,0.0
2011-01-05,-0.10549999999999997,0.6779583333333333,121.70037500000001,23.259125,334.3540097402597,0.8107826086956521,10.094347826086956,20.466333333333335,1.6730869565217392,7.7,15.0,1205.8126,-1.0
2011-01-06,-2.1359166666666667,0.3605416666666667,125.99479166666667,13.841208333333334,333.67051948051943,4.154916666666667,19.34075,30.582857142857144,3.011625,15.0,12.333333333333334,1315.918,0.0
2011-01-07,-1.7283333333333333,0.32525,54.78041666666667,20.561333333333334,332.98702922077916,0.588391304347826,9.812739130434784,19.893,2.2199565217391304,13.1,8.0,2029.668,0.0
2011-01-08,-2.5957500000000002,-0.029249999999999995,65.27825,24.129583333333333,332.30353896103895,0.3795,7.020125,23.381714285714285,1.9120833333333334,11.5,13.0,1933.4951,-1.0
2011-01-09,-3.3779583333333334,-0.008083333333333331,131.23445833333332,28.79041666666667,331.6200487012987,0.4963043478260869,3.7896521739130438,13.088083333333332,2.72,6.625,6.75,1763.209,-1.0
2011-01-10,-3.6928750000000004,0.5110416666666667,85.819,23.144166666666667,330.9365584415584,1.0572916666666667,11.34075,31.54,3.0440416666666668,8.6,12.0,1030.9792,-1.0
2011-01-11,-3.048083333333333,-0.039874999999999994,39.84229166666667,10.383000000000001,330.25306818181815,4.426086956521739,22.616521739130437,18.172291666666666,2.725826086956522,17.2,9.0,485.19324,0.0
2011-01-12,-2.1366666666666667,0.29758333333333337,69.71970833333334,22.06658333333333,329.5695779220779,1.3462500000000002,10.050833333333333,1.3231904761904763,2.5977916666666667,8.666666666666666,10.666666666666666,1889.6658,-1.0
2011-01-13,-2.496375,0.12379166666666667,133.13133333333334,30.214166666666667,328.8860876623376,0.7240000000000001,5.912416666666666,2.1717083333333336,3.658,5.3,19.0,1474.4968,-1.0
2011-01-14,-3.7511666666666663,0.37958333333333333,123.08583333333333,23.1075,328.20259740259735,2.3011250000000003,12.186458333333334,6.308375000000001,3.728448717948718,10.8,10.0,1537.0963,-1.0
2011-01-15,0.9052083333333334,0.36883333333333335,92.07404166666667,18.539416666666664,327.51910714285714,2.4795416666666665,16.969666666666665,15.922083333333333,3.798897435897436,12.566666666666668,11.666666666666666,920.09985,0.0
2011-01-16,0.9144583333333335,0.2899583333333333,100.18191666666667,28.629583333333333,326.83561688311687,0.5857916666666666,5.973458333333333,7.580666666666667,3.8693461538461538,13.5,5.0,1329.2217,0.0
2011-01-17,-2.1744583333333334,-0.079625,29.520041666666668,24.29125,326.1521266233766,0.8786666666666667,11.384375,7.578134510543973,3.939794871794872,10.8,15.0,645.0299,-1.0
2011-01-18,-0.24179166666666665,-0.04758333333333333,43.12204166666666,11.261541666666666,325.46863636363634,3.4905833333333334,23.804166666666664,7.57560235442128,4.01024358974359,14.433333333333332,7.333333333333333,479.33972,0.0
2011-01-19,4.040958333333333,-0.036916666666666674,91.87695833333333,7.6066666666666665,324.78514610389607,14.560208333333334,31.806749999999997,7.573070198298586,4.080692307692308,16.2,8.0,1205.5708,0.0
2011-01-20,2.2451250000000003,0.09845833333333333,108.68458333333335,24.499166666666667,324.1016558441558,0.33640000000000003,5.606,7.570538042175893,1.1996470588235295,7.5,3.0,1265.5579,-1.0
2011-01-21,-2.1023333333333336,-0.06941666666666667,133.98329166666667,30.0175,323.41816558441553,0.5330833333333334,6.3109166666666665,7.568005886053199,1.9541250000000001,7.375,7.25,2031.5062,-1.0
2011-01-22,-8.716291666666667,0.14383333333333334,91.72375,24.459541666666667,322.7346753246753,0.5294064393939394,6.292856186868686,7.565473729930505,1.9248680555555557,10.2,8.0,1459.9355,-1.0
2011-01-23,-7.428708333333333,0.328875,121.50420833333332,18.987666666666666,322.05118506493505,0.5257295454545454,6.274795707070707,7.562941573807812,1.8956111111111111,17.6,15.0,1710.672,0.0
2011-01-24,-7.078083333333333,0.10866666666666668,111.50208333333335,22.132833333333334,321.3676948051948,0.5220526515151516,6.256735227272727,7.560409417685118,1.8663541666666668,10.75,8.0,1141.0846,-1.0
2011-01-25,0.56125,0.21920833333333334,78.803375,8.782375,320.6842045454545,0.5183757575757576,6.2386747474747475,7.5578772615624255,1.8370972222222224,23.0,9.0,385.34375,0.0
2011-01-26,0.56875,-0.0317,16.780874999999998,6.865,320.00071428571425,0.5146988636363636,6.220614267676767,7.555345105439732,1.8078402777777778,15.6,9.0,816.9607,0.0
2011-01-27,0.4961875,-0.03941666666666667,0.44775,6.814354166666667,319.317224025974,0.5110219696969697,6.202553787878788,7.552812949317038,1.7785833333333334,14.114285714285714,8.904761904761905,1281.2803,-1.0
