Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
08/25/2011,61,663.6323,11,34,60,11,0,23
08/26/2011,60,1198.5183,15,49,54,11,0,25
08/27/2011,54,1160.9362,9,29,52,6,0,12
08/28/2011,52,2006.8469,9,40,53,6,0,26
08/29/2011,53,1086.2998,11,35,56,11,0,30
08/30/2011,56,1596.083,22,47,63,11,0,32
08/31/2011,97,1624.8816,14,97,60,21,0,44
05/01/2012,45,2108.087,11,45,58,0,0,36
05/02/2012,58,1080.3911,14,33,55,0,0,34
05/03/2012,55,1086.9895,9,34,51,0,2.1,22
05/04/2012,51,1076.7021,10,36,53,0,0,38
05/05/2012,58,1654.872,14,58,23,0,0,31
05/06/2012,42,981.41425,8,42,23,0,0,10
05/07/2012,44,1328.6383,8,44,32,0,0,16
05/08/2012,43,1117.5918,8,43,51,0,0,25
05/09/2012,71,962.8139,8,71,29,0,1.8,29
05/10/2012,71,2367.2969,8,71,28,0,0,36
05/11/2012,49,2993.3706,10,49,55,0,0,32
05/12/2012,87,1954.0364,10,87,54,0,0,35
05/13/2012,64,1912.7311,9,64,31,0,0,30
05/14/2012,40,786.73395,9,40,23,0,0,25
05/15/2012,41,1304.2188,9,41,53,0,1.7,25
05/16/2012,87,2306.8716,9,87,39,0,0,25
05/17/2012,50,1365.2156,8,50,31,0,0,35
05/18/2012,74,1593.4596,11,74,28,0,0,42
05/19/2012,105,1886.0775,9,105,28,0,2.3,36
05/20/2012,58,1665.9386,10,58,22,0,1.9,32
05/21/2012,27,1155.6758,8,27,28,0,0,23
05/22/2012,38,1134.6334,9,38,53,0,3.2,25
05/23/2012,53,1014.4065,10,41,56,0,0,33
05/24/2012,67,1533.1903,10,67,41,0,0,22
05/25/2012,48,1300.5819,8,48,43,0,3.3,25
05/26/2012,47,1386.8293,7,47,38,0,3.2,14
05/27/2012,38,1586.3936,7,36,41,0,3.2,12
05/28/2012,44,2044.96,7,44,49,0,3.2,14
05/29/2012,49,1841.8108,7,39,44,0,3.3,14
05/30/2012,97,1541.7112,9,97,45,0,3.2,38
05/31/2012,105,2373.5317,9,105,59,0,2.7,42
06/01/2012,59,1492.7163,9,45,60,0,0,27
06/02/2012,60,2448.4006,8,46,48,0,0,33
06/03/2012,54,2561.8733,9,54,33,0,0.8,29
06/04/2012,33,2180.7217,8,33,34,0,0.9,21
06/05/2012,36,1857.6575,10,36,34,0,1.9,31
06/06/2012,44,2119.1016,11,44,40,0,0,28
06/07/2012,48,2417.3308,9,48,56,0,2.7,24
06/08/2012,56,2760.71,11,50,55,0,3.2,39
06/09/2012,90,2815.8877,8,90,72,0,0,20
06/10/2012,154,2637.6775,9,154,71,0,2.2,22
06/11/2012,71,2262.8127,8,61,56,0,2.1,26
06/12/2012,56,1028.6426,10,31,40,0,1.3,13
06/13/2012,48,1719.038,9,48,58,0,0.3,12
06/14/2012,58,1627.1792,10,51,38,0,0.8,19
06/15/2012,61,2013.8381,8,61,41,0,0.4,20
06/16/2012,58,2014.2018,9,58,48,0,0.6,27
06/17/2012,48,1314.3503,8,43,42,0,1,21
06/18/2012,42,908.88324,10,29,70,0,0.7,19
06/19/2012,126,1653.1573,10,126,87,0,2.4,31
06/20/2012,136,2107.983,10,136,105,0,3.5,42
06/21/2012,156,2159.8872,10,156,83,0,11.1,40
06/22/2012,101,2374.1553,9,101,77,0,0,20
06/23/2012,77,2743.253,8,67,62,0,0,33
06/24/2012,101,2530.128,11,101,59,0,0,36
06/25/2012,74,2573.6675,8,74,48,0,0,16
06/26/2012,48,2647.809,7,40,51,0,0,14
06/27/2012,51,3179.7378,8,45,60,0,1.3,39
06/28/2012,122,2261.7217,8,122,82,0,5.4,40
06/29/2012,182,2762.2688,8,182,60,0,6.2,32
06/30/2012,101,2730.8872,8,101,72,0,0,28
07/01/2012,108,2676.0732,14,108,58,0,2.7,28
